m2id,big5_item_n,big5_item_e,big5_item_o,big5_item_c,big5_item_a,big5_scale_neuroticism,big5_scale_extraversion,big5_scale_openness,big5_scale_conscientiousness,big5_scale_agreeableness
10001,1.2,2,10.0211475,2.25,4.3076923076923075,3,2.8,2,2.75,2.71428571428573
10002,,,,,,,,,,
10004,0.7857142857142857,1.5,15.229321818181818,1.5,5.076923076923077,3,3.6,1.75,3.5,3.57142857142859
10005,0.7857142857142857,1.6666666666666667,1.33313,1.25,5.3076923076923075,4,3.8,1.25,3.75,3.28571428571427
10006,0.2,2.2222222222222223,7.8809759999999995,1.5,4.615384615384615,4,3,3,3.5,2.85714285714286
10007,-0.06666666666666667,1.6666666666666667,2,2,4.6923076923076925,4,3,3.25,3,2.5
10008,1.4666666666666666,1.875,1.6384236363636364,1,3.8461538461538463,3.4,3.4,3,4,2.85714285714286
10009,,,,,,,,,,
10010,1.9285714285714286,1.625,2.2240225,1.5,4.769230769230769,3,3.4,2,3.5,3.85714285714286
10011,1,2.111111111111111,2.3103575,1,4.615384615384615,3.6,3,1.25,4,2.71428571428573
10013,1.2,2.25,2.0014344444444445,2.25,4.846153846153846,3.4,2.6,3.5,2.75,2.85714285714286
10014,0.9285714285714286,2.625,2.579821,2,4.230769230769231,2.2,2.4,1.75,3,2.14285714285714
10015,1.0714285714285714,2.3333333333333335,1.5286754545454546,1,4.230769230769231,3.2,2.8,2,4,3.28571428571427
10016,1.1333333333333333,2.125,1.5620341666666666,1.5,5.153846153846154,4,2.8,2.5,3.5,2.71428571428573
10017,1.7333333333333334,2.125,1.867725,1.5,3.6153846153846154,3.4,3.2,1.5,3.5,3.28571428571427
10018,1,2.5,2.6641266666666668,2,4.615384615384615,3,2.6,2,3,3.14285714285714
10019,1.4,1.625,1.826328,1.75,4.461538461538462,3.2,3.2,1.75,3.25,2.71428571428573
10020,1.0666666666666667,1.625,1.9422827272727272,1.5,4,3.4,3.8,2.25,3.5,2.42857142857141
10021,,,,,,,,,,
10023,0.9285714285714286,1.4444444444444444,1.663213,1.75,4.769230769230769,4,3.6,2,3.25,3.42857142857141
10024,0.42857142857142855,2.875,2.185258,2,3.6666666666666665,3.4,1.8,3,3,2.14285714285714
10025,1.8,1.875,7.370373636363636,1,4.461538461538462,3,3.2,2.5,4,3.14285714285714
10027,0.8666666666666667,1.4444444444444444,1.2686663636363635,1,4.538461538461538,4,4,1.75,4,3.71428571428573
10028,1.2857142857142858,1.6666666666666667,4.705377,1,4.3076923076923075,4,3.4,1.5,4,3.85714285714286
10030,1.3571428571428572,1.375,1.380119,1.5,5.3076923076923075,3.8,4,2.5,3.5,3.71428571428573
10034,1.0666666666666667,1.875,1.316229,1.25,4.3076923076923075,4,3.2,1,3.75,3.42857142857141
10035,,,,,,,,,,
10036,0.7857142857142857,1.5,0.9116141666666666,1,4.538461538461538,3.6,3.4,2.5,4,3.85714285714286
10037,1.4666666666666666,2.625,1.7959241666666668,2.25,3,2.8,2.4,2.5,2.75,2.71428571428573
10038,0.4444444444444444,1.7777777777777777,2.998690909090909,1.75,3.75,3.2,3,2.5,3.25,2.14285714285714
10039,0.9333333333333333,1.75,4.093125,2,4.769230769230769,3.6,3,3,3,2.85714285714286
10040,0.6,1.75,1.1069825,1.25,4.230769230769231,3.8,3.2,3.25,3.75,3.28571428571427
10041,0.6428571428571429,1.3333333333333333,1.0436833333333333,1.25,5.615384615384615,4,4,2,3.75,3.42857142857141
10042,1.0714285714285714,1.8888888888888888,1.8900788888888889,1.25,4.6923076923076925,3.6,3,2,3.75,2.85714285714286
10044,1.4285714285714286,2.5,2.444877,2.75,5,2.6,2.2,2.25,2.25,2.71428571428573
10046,0.6,1.6666666666666667,1.5613975,1.25,5.076923076923077,3.8,3.6,2.75,3.75,3
