var_name_raw,var_name_clean,var_label
M2ID,m2id,MIDUS 2 ID number
M2FAMNUM,m2famnum,MIDUS 2 Family number
SAMPLMAJ,samplmaj,Major sample identification
A1STATUS,a1status,Completion status of M1 respondents
A1PAGE_M2,a1page_m2,Respondent's calculated age at MIDUS 1 Project 1 phone interview
A1PRAGE_2019,a1prage_2019,"Respondent's calculated age at MIDUS 1 Project 1 phone interview, updated as of 2019"
M1AGE_FLAG,m1age_flag,Flag indicates status changes in M1 age
A1PBYEAR,a1pbyear,Respondent's birth year at MIDUS 1 Project 1 phone interview
A1PBYEAR_2019,a1pbyear_2019,"Respondent's birth year at MIDUS 1 Project 1 phone interview, updated as of 2019"
M1BYEAR_FLAG,m1byear_flag,Flag indicates status changes in M1 birth year
A1PRSEX,a1prsex,Respondent's sex
QL2,ql2,Men in household age 25-74
QL3,ql3,Women in household age 25-74
HH_CELL,hh_cell,Household composition of M/F 25-74
NPRB_SEX,nprb_sex,Probability of selection - gender
SEX_CELL,sex_cell,Number of selected gender in household
NPRB_WHO,nprb_who,Probability of selection - within gender group
WHO,who,Position within gender group
PROB_R,prob_r,Probability of selection on age_group
MO,mo,Month R selected
DAY,day,Day R selected
RECON,recon,Recontact information status
MO_RCVD,mo_rcvd,Month self-administered questionnaire returned
DY_RCVD,dy_rcvd,Day self-administered questionnaire returned
TOT_SIBS,tot_sibs,Total siblings including Main R
ZYGCAT,zygcat,Zygotic category
A1PI_MO,a1pi_mo,Interview date - Month
A1PI_YR,a1pi_yr,Interview date - Year
A1WGHT1,a1wght1,M1 Main RDD Phone sampling and post-stratification weight
A1WGHT2,a1wght2,M1 Main RDD Phone and SAQ sampling and post-stratification weight
A1PWGHT1,a1pwght1,M1 Main RDD Phone post-stratification weight - Education
A1PWGHT2,a1pwght2,M1 Main RDD Phone post-stratification weight - Race
A1PWGHT3,a1pwght3,M1 Main RDD Phone post-stratification weight - Age
A1PWGHT4,a1pwght4,M1 Main RDD Phone post-stratification weight - Sex
A1PWGHT5,a1pwght5,M1 Main RDD Phone post-stratification weight - Marital Status
A1PWGHT6,a1pwght6,M1 Main RDD Phone post-stratification weight - Education x Race x Sex x Age x Marital Status
A1PWGHT7,a1pwght7,M1 Main RDD Phone post-stratification weight - Sex x Education x Age
A1PWGHT8,a1pwght8,M1 Main RDD Phone post-stratification weight - Race x Education x Age
A1SWGHT1,a1swght1,M1 Main RDD Phone and SAQ post-stratification weight - Education
A1SWGHT2,a1swght2,M1 Main RDD Phone and SAQ post-stratification weight - Race
A1SWGHT3,a1swght3,M1 Main RDD Phone and SAQ post-stratification weight - Age
A1SWGHT4,a1swght4,M1 Main RDD Phone and SAQ post-stratification weight - Sex
A1SWGHT5,a1swght5,M1 Main RDD Phone and SAQ post-stratification weight - Marital Status
A1SWGHT6,a1swght6,M1 Main RDD Phone and SAQ post-stratification weight - Education x Race x Sex x Age x Marital Status
A1SWGHT7,a1swght7,M1 Main RDD Phone and SAQ post-stratification weight - Sex x Education x Age
A1SWGHT8,a1swght8,M1 Main RDD Phone and SAQ post-stratification weight - Race x Education x Age
A1PA4,a1pa4,Physical health self-evaluated
A1PA5,a1pa5,Mental/emotional health self-evaluated
A1PA6,a1pa6,Health compared to others your age
A1PA7,a1pa7,Days unable to work because of health (30 days)
A1PA7A,a1pa7a,"Reason unable to work (physical, mental, combination)"
A1PA7BA,a1pa7ba,Number of days unable work due to physical health only
A1PA7BB,a1pa7bb,Number of days unable work due to mental health only
A1PA7BC,a1pa7bc,Number of days unable work due to physical and mental health
A1PA8,a1pa8,Days cut back work because of health (30 days)
A1PA8A,a1pa8a,"Reason cut back on work (physical, mental, combination)"
A1PA8BA,a1pa8ba,Number of days cut back due to physical health only
A1PA8BB,a1pa8bb,Number of days cut back due to mental health only
A1PA8BC,a1pa8bc,Number of days cut back due to mental and physical
A1PA9,a1pa9,Physical health at 16
A1PA10,a1pa10,Mental health at 16
A1PA11,a1pa11,Heart trouble suspect/confirmed by doctor
A1PA11A,a1pa11a,Age doctor told you have heart problem
A1PA11BA,a1pa11ba,Diagnosis - Heart attack
A1PA11BB,a1pa11bb,Diagnosis - Angina
A1PA11BC,a1pa11bc,Diagnosis - High blood pressure
A1PA11BD,a1pa11bd,Diagnosis - Valve disease
A1PA11BE,a1pa11be,Diagnosis - Hole in heart
A1PA11BF,a1pa11bf,Diagnosis - Blocked artery
A1PA11BG,a1pa11bg,Diagnosis - Irregular heartbeat
A1PA11BH,a1pa11bh,Diagnosis - Heart murmur
A1PA11BI,a1pa11bi,Diagnosis - Heart failure
A1PA11BJ,a1pa11bj,Diagnosis - Other
A1PA11BK,a1pa11bk,Diagnosis - None
A1PA11C,a1pa11c,Go to hospital for heart treatment/tests
A1PA11D,a1pa11d,Getting treatment for heart trouble now
A1PA12,a1pa12,Ever had heart attack
A1PA12A,a1pa12a,Year had first heart attack
A1PA13,a1pa13,Heart attack risk compared to others
A1PA13A,a1pa13a,Degree of higher risk for heart attack
A1PA13B,a1pa13b,Degree of lower risk for heart attack
A1PHRTRS,a1phrtrs,Subjective Heart Attack Risk
A1PHRTDX,a1phrtdx,Subjective Heart Attack Risk (binary)
A1PA14,a1pa14,Number of biological family members had heart attacks
A1PA15,a1pa15,How much worry about your heart
A1PA16,a1pa16,Ever had major heart procedure
A1PA17,a1pa17,Anyone you know well had heart procedure
A1PA18,a1pa18,Would choose bypass or medication
A1PA19,a1pa19,How sure would choose bypass or medication
A1PA20,a1pa20,Treat heart with bypass or exercise
A1PA21,a1pa21,How sure choice of bypass or exercise
A1PA22,a1pa22,Accept or seek 2nd open heart surgery
A1PA22A,a1pa22a,How sure about 2nd open heart surgery
A1PA23,a1pa23,Chest pain walk uphill/hurry
A1PA24,a1pa24,Chest pain walk ordinary pace
A1PA25,a1pa25,When get chest pain stop/slow/continue
A1PA26,a1pa26,Does chest pain go away when stand still
A1PA27,a1pa27,How soon does chest pain go away
A1PA28,a1pa28,Where get chest pain/discomfort
A1PANGIN,a1pangin,Angina Class Rating
A1PA29,a1pa29,Ever severe pain across front of chest
A1PA29A,a1pa29a,Number of times severe pain front of chest
A1PA29B,a1pa29b,Talk to doctor about chest pain
A1PA29CA,a1pa29ca,Chest pain - Heart attack
A1PA29CB,a1pa29cb,Chest pain - Angina
A1PA29CC,a1pa29cc,Chest pain - High blood pressure
A1PA29CD,a1pa29cd,Chest pain - Valve disease
A1PA29CE,a1pa29ce,Chest pain - Hole in heart
A1PA29CF,a1pa29cf,Chest pain - Blocked artery
A1PA29CG,a1pa29cg,Chest pain - Irregular heartbeat
A1PA29CH,a1pa29ch,Chest pain - Heart murmur
A1PA29CI,a1pa29ci,Chest pain - Heart failure
A1PA29CJ,a1pa29cj,Chest pain - Other
A1PA29CK,a1pa29ck,Chest pain - None
A1PA33,a1pa33,Now taking prescription medications for blood pressure
A1PA34,a1pa34,Using other treatment high blood pressure
A1PA30,a1pa30,Number of months since last blood pressure test
A1PA31,a1pa31,"Last blood pressure (low, normal, high)"
A1PA32S,a1pa32s,Exact reading systolic blood pressure
A1PA32D,a1pa32d,Exact reading diastolic blood pressure
A1PA36,a1pa36,Ever had cancer
A1PA37,a1pa37,Cancer risk compared to others
A1PA37A,a1pa37a,Degree of higher risk for cancer
A1PA37B,a1pa37b,Degree of lower risk for cancer
A1PCACRS,a1pcacrs,Subjective Cancer Risk
A1PCACDX,a1pcacdx,Subjective Cancer Risk (binary)
A1PA38,a1pa38,Cancer treatment/therapy currently
A1PA39A,a1pa39a,Breast cancer ever
A1PA39B,a1pa39b,Cervical cancer ever
A1PA39C,a1pa39c,Colon cancer ever
A1PA39D,a1pa39d,Lung cancer ever
A1PA39E,a1pa39e,Lymphoma/leukemia cancer ever
A1PA39F,a1pa39f,Ovarian cancer ever
A1PA39G,a1pa39g,Prostate cancer ever
A1PA39H,a1pa39h,Skin cancer/melanoma ever
A1PA39I,a1pa39i,Uterine cancer ever
A1PA39J,a1pa39j,Other cancer ever (specify)
A1PA41,a1pa41,Age had first cigarette
A1PA40,a1pa40,Ever smoked cigarettes regularly
A1PA42,a1pa42,Age began to smoke regularly
A1PA43,a1pa43,Now smoke cigarettes regularly
A1PA44,a1pa44,Cigarettes per day during heaviest year (current smoker)
A1PA45,a1pa45,Ever tried to quit smoking
A1PA46,a1pa46,Age last smoked regularly
A1PA47,a1pa47,Cigarettes per day during heaviest year (ex-smoker)
A1PA52,a1pa52,Age had first drink of alcohol
A1PA53,a1pa53,Time when drink 3+ days a week
A1PA53A,a1pa53a,Age began drinking regularly
A1PA54,a1pa54,"When drank most, had at least one (frequency)"
A1PA54A,a1pa54a,"How many days per month (when most, if less than 1/week)"
A1PA55,a1pa55,"When drank most, number of drinks when drank"
A1PA56,a1pa56,Age last drank often
A1PA57,a1pa57,Felt sad/depressed for 2 or more weeks (12 months)
A1PA58,a1pa58,Sad/depress lasted how long (2 weeks sad)
A1PA59,a1pa59,How often felt sad/depress (2 weeks sad)
A1PA60,a1pa60,Lose interest in most things (2 weeks sad)
A1PA61,a1pa61,Felt more tired/low energy (2 weeks sad)
A1PA62,a1pa62,Lost appetite (2 weeks sad)
A1PA62A,a1pa62a,Increased appetite (2 weeks sad)
A1PA63,a1pa63,More trouble falling asleep (2 weeks sad)
A1PA63A,a1pa63a,How often trouble fall sleep (2 weeks sad)
A1PA64,a1pa64,More trouble concentrating (2 weeks sad)
A1PA65,a1pa65,Felt down/no good/worthless (2 weeks sad)
A1PA66,a1pa66,Thought a lot about death (2 weeks sad)
A1PDEPAF,a1pdepaf,Depressed Affect (continuous)
A1PDEPAD,a1pdepad,Depressed Affect (binary)
A1PA67,a1pa67,Number of weeks sad/depressed (12 months)
A1PA68MO,a1pa68mo,Most recent month sad/depressed
A1PA68YR,a1pa68yr,Most recent year sad/depressed
A1PA69,a1pa69,Time lost interest 2 or more weeks (12 months)
A1PA70,a1pa70,How long loss interest lasted (2 weeks interest)
A1PA71,a1pa71,How often felt loss interest (2 weeks interest)
A1PA72,a1pa72,Felt more tired/low energy (2 weeks interest)
A1PA73,a1pa73,Lost appetite (2 weeks interest)
A1PA73A,a1pa73a,Increased appetite (2 weeks interest)
A1PA74,a1pa74,More trouble fall sleep (2 weeks interest)
A1PA74A,a1pa74a,How often trouble fall sleep (2 weeks interest)
A1PA75,a1pa75,More trouble concentrating (2 weeks interest)
A1PA76,a1pa76,Felt down/no good/worthless (2 weeks interest)
A1PA77,a1pa77,Thought a lot about death (2 weeks interest)
A1PANHED,a1panhed,Anhedonia (continuous)
A1PANHDX,a1panhdx,Anhedonia (binary)
A1PDEPRE,a1pdepre,Depressed Affect + Anhedonia (continuous)
A1PDEPDX,a1pdepdx,Depressed Affect + Anhedonia (binary)
A1PA78,a1pa78,Number of weeks lost interest (12 months)
A1PA79MO,a1pa79mo,Most recent month lost interest
A1PA79YR,a1pa79yr,Most recent year lost interest
A1PA80,a1pa80,"Worry more, less, about same as others"
A1PA80A,a1pa80a,"Worry a lot, somewhat, little more"
A1PA81,a1pa81,Frequency of worrying (12 months)
A1PA81A,a1pa81a,How long worry lasts on days you worry
A1PA82,a1pa82,Worry about one thing or more than one
A1PA82A,a1pa82a,Different worries on mind at same time
A1PA83,a1pa83,Worry about things not likely to happen
A1PA83A,a1pa83a,Worry about things that are not serious
A1PA84,a1pa84,How often can't put worry out of mind
A1PA84A,a1pa84a,How often difficult to control worry
A1PA85A,a1pa85a,Restless because of worry (12 months)
A1PA85B,a1pa85b,Keyed up/on edge/nervous energy (12 months)
A1PA85C,a1pa85c,Irritable because of worry (12 months)
A1PA85D,a1pa85d,Trouble falling asleep because of worry (12 months)
A1PA85E,a1pa85e,Trouble staying asleep because of worry (12 months)
A1PA85F,a1pa85f,Trouble concentrating because of worry (12 months)
A1PA85G,a1pa85g,Trouble remembering because of worry (12 months)
A1PA85H,a1pa85h,Low on energy because of worry (12 months)
